edge_cursor,release_tag,release_committed_at,is_prerelease,engine_commit
MTgy,v1.5.4-hotfix.1,2019-04-30T22:44:27Z,true,52c7a1e849a170be4b2b2fe34142ca2c0a6fea1f
MTgz,v1.5.4-hotfix.2,2019-05-01T23:56:46Z,true,52c7a1e849a170be4b2b2fe34142ca2c0a6fea1f
MTg0,v1.6.0,2019-05-15T00:09:29Z,false,832cdacc6f955f080734109900a1658ae7e0d248
MTg1,v1.6.1,2019-05-21T00:25:59Z,false,e3772232c2d24c174beac7ef03dff63907cdda46
MTg2,v1.6.2,2019-05-22T00:12:18Z,false,303a3910d398ee48a3411108688ebd5ccc101e8a
MTg3,v1.6.3,2019-05-23T17:29:07Z,false,8dc3a4cde2075a4f5458fd0eb199627f5124508d
MTg4,v1.6.4,2019-05-24T19:39:48Z,false,8dc3a4cde2075a4f5458fd0eb199627f5124508d
MTg5,v1.6.5,2019-05-28T17:19:19Z,false,8dc3a4cde2075a4f5458fd0eb199627f5124508d
MTkw,v1.6.6,2019-05-29T04:53:03Z,false,8dc3a4cde2075a4f5458fd0eb199627f5124508d
MTkx,v1.6.7,2019-05-30T19:04:01Z,false,58eff77ef2f808306f0f8d4e46d910b6210bae46
MTky,v1.7.0,2019-05-31T19:27:56Z,false,a32df2c9280033c93a7ed089c294566dabfbf693
MTkz,v1.7.1,2019-06-04T14:01:52Z,false,a63ef4cb4fde6a486818467d806b912f938e57f5
MTk0,v1.7.2,2019-06-04T23:25:55Z,false,86aa01442b5d5a6b9b16ff3cf15d529a92d9d75c
MTk1,v1.7.3,2019-06-07T19:43:27Z,false,0602dbb27547cd03d8f8e816b7995cace854f7e6
MTk2,v1.7.4,2019-06-14T16:46:23Z,false,2589785b5c5eaad64d1da3403048e61d8f230c48
MTk3,v1.7.5,2019-06-19T00:04:11Z,false,20d3861ac8e1f8f38c8659b16b699d0e63db01b1
MTk4,v1.7.6,2019-06-21T18:24:54Z,false,a9a0b89b1c82aa657708eece3e690bf39cf0ead5
MTk5,v1.7.7,2019-06-21T19:05:06Z,false,a9a0b89b1c82aa657708eece3e690bf39cf0ead5
MjAw,v1.7.8,2019-06-22T02:31:55Z,false,d004bcd4d619fc3574761d63d7cf7b7291332c79
MjAx,v1.7.9,2019-06-24T10:41:02Z,false,4444c9cb6c9f1859c1807cff415cd716bb9612ff
MjAy,v1.7.10,2019-06-25T13:59:15Z,false,ae8e6d9f46990b9585dc1fb5b8aabe491c08aaf3
MjAz,v1.7.11,2019-06-27T03:27:39Z,false,f3761ba8d01fc6213db44b702c3c38bfdc5c887a
MjA0,v1.7.8+hotfix.1,2019-07-01T22:52:35Z,false,b1cb0d9e9b44393efeb735f664672a74732cdc8b
MjA1,v1.8.0,2019-07-01T18:33:22Z,false,45b66b722e1275c47dccbe6b002c8e4cb13ea983
MjA2,v1.7.8+hotfix.2,2019-07-02T16:31:07Z,false,b1cb0d9e9b44393efeb735f664672a74732cdc8b
MjA3,v1.8.1,2019-07-08T18:04:24Z,false,3c51a7bfff776e9e3011384f4ff09c13a697c6b6
MjA4,v1.7.8+hotfix.3,2019-07-09T20:14:38Z,false,54ad777fd29b031b87c7a68a6637fb48c0932862
MjA5,v1.8.2,2019-07-11T02:17:14Z,false,75387dbc147d1cee8164f5d61582eab8ba1e5058
MjEw,v1.7.8+hotfix.4,2019-07-19T03:04:33Z,false,fee001c93f25a1e7258e762781a7361f122d29f5
MjEx,v1.8.3,2019-07-27T18:48:24Z,false,38ac5f30a7026e870619c2e8e8c99c070d74036f
MjEy,v1.8.4,2019-08-02T17:10:39Z,false,26368225b5ec8c172422f0d9757c75828c11cdd1
MjEz,v1.9.0,2019-08-14T01:14:36Z,false,4b6b4afd6492499b72bdc59c3a633c7721708087
MjE0,v1.9.1,2019-08-18T19:22:36Z,false,55406841525fba0dcb7fdf417bf021e96093459d
MjE1,v1.9.2,2019-08-20T00:37:36Z,false,3e10d92b2bbb29fc932868ee025959748285657b
MjE2,v1.9.3,2019-08-21T01:50:09Z,false,c43739ba53ce7c0d6d6f5c9ab90a832302c0b623
MjE3,v1.9.4,2019-08-23T16:41:03Z,false,975a8aa5752e5774ffcd342a6f987d61bd5d84a5
MjE4,v1.9.5,2019-08-23T21:08:04Z,false,72283b64196cb5df16eb4d1a782da08f320a8014
MjE5,v1.9.6,2019-08-28T13:49:49Z,false,f8c4546eb44556ea40efdf4b108cb11477266a5e
MjIw,v1.9.7,2019-08-29T00:04:07Z,false,f52c0b9270de3b2fc3e2785dfa7355e70a0b5fc7
MjIx,v1.9.1+hotfix.1,2019-09-04T01:07:52Z,false,cc88fa45dbf4c55bc23cecea17fb90f43bccf588
MjIy,v1.10.0,2019-09-05T03:13:16Z,false,e7f9ef6aa0b9040102d1b3c9a6ae934df746ef94
MjIz,v1.9.1+hotfix.2,2019-09-07T01:39:49Z,false,b863200c37df4ed378042de11c4e9ff34e4e58c9
MjI0,v1.10.1,2019-09-07T00:11:41Z,false,b9ce2500d9e57389c8b873fbbd016852c8ed8d0a
MjI1,v1.10.2,2019-09-12T04:03:42Z,false,7ea9884ab00eb0b63f7793ce8664ae55af484eb1
MjI2,v1.10.3,2019-09-13T21:52:41Z,false,7d8c6d9c1a5c1ce5303a5694bc9f49819c772f5f
MjI3,v1.10.4,2019-09-18T18:01:08Z,false,2289072724fff78f9b07f0619796a666e00f69a0
MjI4,v1.10.5,2019-09-19T03:09:41Z,false,33ad6757e88311f4fb9d341918894e2bc30e3b20
MjI5,v1.9.1+hotfix.3,2019-09-25T22:41:01Z,false,b863200c37df4ed378042de11c4e9ff34e4e58c9
MjMw,v1.10.6,2019-09-25T14:57:58Z,false,63949eb0fd982b27adc218364805913380af7411
MjMx,v1.9.1+hotfix.4,2019-09-27T22:04:59Z,false,b863200c37df4ed378042de11c4e9ff34e4e58c9
MjMy,v1.10.7,2019-10-02T16:32:30Z,false,9e6314d348f9b5521e3c66856324d7a9c4a928c9
MjMz,v1.10.8,2019-10-02T22:28:55Z,false,aa8fcbb65283bfd8ab37475043ae2ac8fe8671f4
MjM0,v1.10.9,2019-10-04T03:27:37Z,false,2e163b27805be1bd178ad909f9947fe9d85c6010
MjM1,v1.10.10,2019-10-04T05:37:43Z,false,a0605af402ac9b9e54b33ad900da60845ab77961
MjM2,v1.10.11,2019-10-04T13:23:03Z,false,759d3dba259be0ac7196dcc5d94b66901942d1e5
MjM3,v1.10.12,2019-10-04T14:52:15Z,false,759d3dba259be0ac7196dcc5d94b66901942d1e5
MjM4,v1.10.13,2019-10-07T15:11:45Z,false,7d90779bb66f2c63444ee41b61c2d9a1c7b389ca
MjM5,v1.10.14,2019-10-07T22:23:31Z,false,1d62160fdb2f5a1d20f1dccb761a2caa96804c22
MjQw,v1.9.1+hotfix.5,2019-10-17T15:37:27Z,false,b863200c37df4ed378042de11c4e9ff34e4e58c9
MjQx,v1.9.1+hotfix.6,2019-10-22T21:25:23Z,false,b863200c37df4ed378042de11c4e9ff34e4e58c9
MjQy,v1.10.15,2019-11-01T22:36:07Z,false,8ea19b1c76f69f7b50e4195f41dfb1cb49a9fe66
MjQz,v1.10.16,2019-11-07T02:04:17Z,false,34a40cfbfd369544cbee9d19f212fbbe06e739c2
MjQ0,v1.11.0,2019-11-09T02:00:01Z,false,af04338413c3ed73316350f64248a152433073b6
MjQ1,v1.12.0,2019-11-09T02:35:17Z,false,2f69e38160a301f4070a8be25dcb66120e4548ac
